renda;compras;idade;scrcrdt;sexo
589.892909069587;1344.526181374793;47.0;808.0;
480.99422490373087;1428.5042388212412;47.0;;1.0
503.74827858578095;1365.005425911917;47.0;808.0;1.0
513.3942648123827;1382.4888215876242;47.0;808.0;1.0
581.3717781787194;1461.492090079202;47.0;808.0;1.0
658.703819745022;1404.0857895401205;47.0;808.0;1.0
681.1857731994622;1415.946497772415;47.0;808.0;1.0
615.9873501212188;1409.3968280202214;47.0;808.0;1.0
544.178790675002;1422.887446173267;47.0;;1.0
592.3657322901659;1421.4598253632441;47.0;808.0;1.0
507.19242243379324;1342.1968328643802;47.0;;1.0
461.1589431667622;1337.1813175596226;47.0;808.0;1.0
520.9477646957076;1472.0153616972868;47.0;808.0;1.0
635.6068504009166;1412.683815139982;47.0;808.0;1.0
556.2432761409068;1429.1416308970308;47.0;808.0;1.0
685.8188545841233;1416.572310546128;47.0;808.0;1.0
520.5929218018731;1352.1035178167538;47.0;;1.0
600.170082062002;1373.2680400747508;47.0;808.0;1.0
587.1741555191865;1446.7765448357522;47.0;808.0;1.0
812.8481248310767;1463.688607426917;;;1.0
542.9189881401965;1407.9234345757832;47.0;808.0;1.0
587.8276154016933;1398.5296258051521;47.0;808.0;1.0
376.50185206401613;1342.3954178615668;47.0;808.0;1.0
500.4363242656659;1363.4886487718709;47.0;808.0;1.0
444.3406042466519;1402.9402827651707;47.0;808.0;1.0
537.3299546236995;1453.9974919543317;47.0;808.0;1.0
;1341.8047596047509;47.0;808.0;
527.5173914540677;1424.8287002114955;;808.0;1.0
;1351.4891311508754;47.0;808.0;
547.3170714325297;1382.5402532662106;47.0;808.0;1.0
542.9334227405712;1384.9805528273675;47.0;808.0;1.0
517.4661326457162;1404.5709854462102;47.0;808.0;1.0
483.8496350132241;1298.2626961055257;;808.0;1.0
789.7599538133339;;47.0;808.0;1.0
699.1202304191104;;47.0;808.0;1.0
659.0104985177368;1365.6347462370627;47.0;;1.0
816.3841629443374;1435.8738534438523;47.0;;
458.45531411014144;1369.3712841847557;47.0;808.0;
;1474.1950000994634;47.0;808.0;1.0
515.9153808794166;1384.4869619095437;47.0;808.0;1.0
493.7578166792556;1382.8418763502723;47.0;808.0;
409.1995367092557;;47.0;808.0;1.0
613.1558057090887;1382.709802180057;47.0;808.0;1.0
588.8336083576617;1415.019619795884;47.0;;1.0
;1388.5161500091415;47.0;808.0;1.0
568.7332631764182;1454.7139715529083;47.0;808.0;1.0
643.6547149480782;;47.0;808.0;1.0
445.3069114848507;1294.0204469755597;47.0;808.0;1.0
